x,y,z
95.73428731,107.8087246,14.32440786
36.20659967,223.9257023,10.19057697
28.71378371,245.2523064,12.56681474
78.36955746,132.7344101,13.08438381
38.37716612,222.29659,9.960032813
57.1807778,184.8372302,10.03567656
69.33083329,157.7104803,12.32186109
81.11854829,142.0436366,9.919884283
86.27330658,161.8123296,11.0694887
70.45571413,177.6617435,11.00179969
68.22631375,146.0686902,10.67902681
49.01485944,188.6242414,9.189728547
97.91170789,76.1521244,10.20657756
7.868980151,288.6102065,10.88656613
52.19362611,204.0973043,12.40992534
11.98349947,219.0846687,18.58519361
92.7839926,129.468709,21.72737595
99.11359474,58.91055317,19.49551163
98.53391554,81.97872511,20.12767561
14.23799105,171.2410799,20.41463954
7.153131277,174.2396812,21.55653636
62.96085671,134.3578798,22.81097239
59.91378594,134.0260702,18.40744955
67.02177562,106.8237328,19.6607578
72.3073293,107.493978,19.1042279
64.91122597,123.501025,20.89988236
73.71332415,142.5820384,19.95562325
7.519327942,198.0918479,14.71529787
36.01007697,163.7167596,20.44192815
72.15979283,134.1906614,19.92271375
63.17934087,88.51785341,26.72526099
19.22751253,111.7271505,32.30964204
96.55113015,117.8163935,28.4287347
9.953786642,115.0646887,28.51372992
56.70749713,94.64126984,32.18532638
65.46994185,103.4557848,26.25371854
64.34907711,103.034752,28.6147774
57.06432743,96.76444216,26.96973081
72.81764236,128.7455949,32.52805543
49.82717694,112.302176,30.97482905
33.00792875,99.40486996,26.6782429
29.50485991,120.5414103,24.2981369
7.691837987,101.2358778,33.41681117
61.29877814,115.6594283,34.34713726
35.66745168,91.09091154,31.32987714
52.29100038,135.7027166,38.44095511
14.19008665,88.5004581,39.36446866
79.22559236,179.8465008,40.8797592
29.13402903,125.5253835,39.72500165
58.98191151,176.4809789,37.40828274
60.47995416,163.1667447,36.7460253
22.86669319,86.6086231,40.93636545
2.991142916,91.58459664,42.80964406
13.38814793,134.9923088,44.07946278
90.86431437,194.7164771,39.63450091
88.83477452,187.4202827,42.84045267
34.12180059,155.2881685,40.26193079
26.46533498,122.1567218,44.47722892
72.91640795,167.0377774,32.83533246
83.07872347,200.9588946,39.35647239
19.51192711,52.0173225,49.88970902
33.81434835,110.9943785,52.74646611
43.05668233,104.8468858,45.79196976
45.01026345,78.25131171,48.92228879
18.70014055,82.31440663,51.32348954
80.32584451,188.2769103,45.76106659
3.559171408,69.03025726,51.55035213
3.677675966,79.61220831,51.48463695
22.02945894,80.05992988,51.2192286
54.7722134,127.9932996,51.23913481
78.38315892,196.1965358,48.78049388
13.5109935,88.3588583,49.50505549
78.10192534,140.4321248,49.38953891
9.696559049,83.21028471,46.17841885
23.13279603,104.5133264,50.73056242
75.24791411,163.6580723,60.43804365
12.05485109,46.05501377,63.72467902
51.94944518,116.0096514,59.4130623
24.00871336,74.88651892,53.23848956
32.2140119,122.4229912,56.73886577
44.1461884,100.7944108,64.11916488
37.79358731,148.0734846,53.02006173
74.71984518,194.9146291,52.85456006
27.69123178,80.17761181,56.69800843
47.77421602,106.1549264,60.5405602
6.091443636,48.02326817,61.29971353
97.45231266,201.9190767,62.40920939
3.342037648,51.23956832,58.83464743
31.1237378,109.0145355,65.32101218
31.14126802,124.9659648,58.22759592
