Student,English,Math,Science
1,99,96,97
2,99,96,97
3,98,97,97
4,95,100,95
5,95,96,96
6,96,97,96
7,100,96,97
8,95,98,98
9,98,96,96
10,99,99,95
11,96,97,95
12,95,96,96
13,96,99,96
14,96,99,99
15,100,97,96
16,99,97,99
17,95,95,100
18,97,98,99
19,98,96,97
20,97,97,99
21,96,96,98
22,99,95,98
23,97,99,98
24,97,96,96
25,99,96,97
26,99,99,97
27,99,95,97
28,99,96,96
29,96,99,96
30,95,97,98
31,98,96,95
32,100,98,96
33,99,99,99
34,95,100,97
35,99,96,97
36,100,99,96
37,100,99,96
38,95,98,97
39,99,96,98
40,96,95,98
41,99,98,97
42,96,96,95
43,98,97,98
44,99,96,95
45,95,96,98
46,100,96,99
47,98,97,97
48,99,96,97
49,97,99,97
50,98,98,95
51,99,100,97
52,98,97,96
53,97,97,98
54,96,97,96
55,97,99,96
56,98,98,99
57,96,97,98
58,95,96,97
59,98,96,96
60,96,97,97
61,99,98,98
62,99,99,97
63,99,98,97
64,99,98,99
65,95,98,98
66,96,97,100
67,96,97,98
68,99,98,99
69,99,100,97
70,96,100,99
71,100,99,95
72,99,98,98
73,99,98,99
74,96,96,95
75,98,98,97
76,96,91,96
77,99,95,99
78,99,89,99
79,98,92,97
80,95,93,100
81,99,87,96
82,98,93,98
83,96,86,95
84,99,95,98
85,95,93,99
86,98,90,99
87,100,89,96
88,97,89,96
89,95,95,97
90,95,88,97
91,96,94,99
92,96,88,98
93,96,90,96
94,97,93,97
95,96,89,98
96,96,86,96
97,97,87,99
98,97,90,100
99,99,93,98
100,96,85,98
101,96,87,91
102,99,91,86
103,96,89,88
104,96,94,94
105,100,90,90
106,99,93,88
107,99,92,87
108,96,95,91
109,99,88,94
110,100,93,95
111,97,89,86
112,100,86,94
113,96,92,91
114,99,94,93
115,99,90,93
116,99,95,95
117,99,91,90
118,97,95,93
119,99,90,85
120,98,90,92
121,98,92,89
122,96,90,92
123,96,88,89
124,99,85,94
125,98,87,93
126,95,88,87
127,98,93,89
128,99,90,86
129,95,91,86
130,99,86,87
131,99,94,89
132,96,94,91
133,98,90,89
134,100,95,90
135,99,86,95
136,98,91,89
137,97,85,90
138,98,91,86
139,99,87,92
140,96,86,87
141,99,94,93
142,99,86,92
143,98,91,91
144,96,86,91
145,99,85,90
146,99,90,95
147,98,90,88
148,97,87,88
149,99,90,88
150,98,89,92
151,86,76,93
152,94,76,93
153,86,81,86
154,86,83,92
155,89,79,92
156,90,80,89
157,90,81,87
158,93,82,88
159,89,78,92
160,87,81,94
161,90,83,88
162,85,79,91
163,87,77,87
164,93,78,88
165,87,81,87
166,87,81,86
167,94,83,94
168,94,82,90
169,87,84,90
170,89,75,89
171,89,77,93
172,94,77,91
173,90,77,91
174,90,77,86
175,87,78,88
176,94,82,85
177,87,82,86
178,91,83,93
179,94,84,95
180,90,82,94
181,86,78,92
182,89,85,92
183,91,81,89
184,93,83,90
185,89,84,88
186,94,84,95
187,90,78,93
188,85,84,86
189,94,79,91
190,89,80,87
191,94,79,92
192,91,79,90
193,94,81,92
194,86,75,94
195,85,75,88
196,87,81,93
197,87,76,86
198,85,76,89
199,86,80,90
200,87,82,88
201,88,78,84
202,91,84,80
203,86,78,79
204,91,78,79
205,91,83,79
206,87,78,77
207,93,80,83
208,86,77,84
209,86,77,80
210,92,80,80
211,86,78,76
212,95,79,75
213,92,76,76
214,87,85,78
215,93,79,83
216,89,80,80
217,86,76,79
218,91,83,80
219,85,77,78
220,94,80,80
221,88,76,81
222,86,85,84
223,95,81,76
224,91,81,76
225,95,85,84
226,93,80,81
227,90,82,81
228,89,75,76
229,94,78,85
230,85,81,81
231,91,83,82
232,90,84,83
233,92,79,75
234,95,81,82
235,86,82,84
236,94,85,77
237,94,84,85
238,89,79,79
239,87,77,76
240,95,83,78
241,89,79,82
242,89,78,78
243,95,84,78
244,91,81,78
245,94,85,82
246,93,83,82
247,92,79,83
248,90,76,76
249,91,79,77
250,90,79,75
251,89,78,78
252,89,81,81
253,92,78,82
254,95,78,84
255,87,81,83
256,93,82,82
257,89,85,83
258,87,83,78
259,91,82,83
260,90,77,78
261,94,85,83
262,94,84,80
263,94,77,83
264,86,83,77
265,88,80,80
266,88,80,81
267,87,80,81
268,89,84,85
269,88,76,80
270,91,84,79
271,94,75,76
272,89,76,78
273,91,79,81
274,95,78,79
275,89,75,76
276,88,76,76
277,89,81,83
278,88,75,77
279,93,83,83
280,93,78,81
281,89,78,81
282,87,80,79
283,90,81,76
284,88,77,82
285,87,82,84
286,90,78,79
287,90,77,76
288,91,76,84
289,86,77,80
290,95,80,83
291,91,85,77
292,95,80,84
293,91,85,81
294,89,83,75
295,93,83,81
296,87,82,80
297,89,77,84
298,86,82,81
299,95,83,75
300,87,81,82
301,79,82,76
302,76,80,83
303,82,76,81
304,79,79,80
305,77,77,82
306,78,83,79
307,84,78,83
308,78,77,80
309,84,80,80
310,77,82,80
311,79,76,78
312,82,79,82
313,84,84,81
314,78,78,83
315,81,76,77
316,84,79,80
317,78,77,77
318,82,85,77
319,83,85,80
320,79,81,79
321,80,81,76
322,79,77,84
323,78,81,83
324,84,75,85
325,84,82,78
326,85,76,78
327,78,79,76
328,80,82,79
329,81,80,78
330,81,82,76
331,82,83,77
332,84,75,80
333,83,80,78
334,84,83,79
335,83,84,82
336,79,84,77
337,76,75,83
338,82,83,75
339,78,80,80
340,82,77,76
341,76,78,80
342,79,80,81
343,79,82,79
344,84,83,83
345,85,75,82
346,78,79,82
347,85,82,81
348,84,80,83
349,77,84,78
350,84,82,83
351,80,84,83
352,84,84,82
353,78,84,80
354,80,80,81
355,82,83,83
356,75,78,79
357,77,78,78
358,84,85,76
359,76,76,80
360,81,80,81
361,80,81,81
362,76,77,81
363,85,75,77
364,84,80,76
365,76,78,79
366,81,78,80
367,80,83,79
368,81,79,77
369,76,76,77
370,81,81,83
371,83,80,75
372,76,80,76
373,84,83,77
374,83,76,76
375,75,84,76
376,78,67,80
377,75,65,75
378,84,56,81
379,80,69,75
380,79,62,82
381,79,65,77
382,79,61,77
383,79,56,79
384,85,73,78
385,78,65,76
386,84,58,85
387,76,70,77
388,81,74,80
389,78,73,85
390,79,68,81
391,76,60,76
392,83,56,79
393,82,55,84
394,79,60,83
395,85,67,76
396,80,74,78
397,81,62,82
398,78,70,76
399,79,57,76
400,82,55,75
401,83,70,69
402,77,65,75
403,83,60,57
404,78,59,61
405,78,63,68
406,78,56,65
407,81,58,73
408,82,62,70
409,81,70,70
410,84,60,74
411,77,71,65
412,75,62,61
413,84,70,57
414,82,68,63
415,83,58,57
416,81,70,74
417,80,56,59
418,84,59,65
419,79,65,71
420,76,63,74
421,76,68,59
422,84,62,60
423,76,75,62
424,75,61,63
425,81,65,75
426,77,66,73
427,83,55,73
428,85,71,57
429,82,56,68
430,82,64,59
431,80,73,65
432,76,71,69
433,79,64,59
434,83,63,66
435,77,63,57
436,83,69,66
437,82,74,61
438,83,56,59
439,80,57,61
440,79,55,67
441,79,72,67
442,79,70,60
443,78,61,75
444,81,58,56
445,80,69,69
446,84,73,60
447,83,72,75
448,76,64,59
449,82,58,58
450,82,74,67
451,78,68,73
452,77,71,65
453,78,68,71
454,83,73,63
455,77,69,74
456,78,57,56
457,76,67,59
458,83,70,57
459,84,58,64
460,80,56,70
461,81,67,67
462,82,75,61
463,76,61,56
464,84,64,71
465,80,59,60
466,83,70,74
467,82,69,58
468,81,68,59
469,78,60,63
470,79,74,73
471,77,59,68
472,76,74,64
473,85,59,63
474,76,66,70
475,85,70,58
476,76,66,61
477,83,66,70
478,79,55,59
479,83,72,73
480,80,60,61
481,81,60,71
482,83,70,61
483,75,62,55
484,79,71,66
485,78,69,58
486,81,62,67
487,77,62,71
488,76,65,68
489,79,66,73
490,76,63,69
491,77,56,59
492,82,57,62
493,82,72,57
494,79,56,58
495,83,63,68
496,82,69,66
497,80,62,66
498,80,66,58
499,80,70,70
500,77,61,59
501,69,57,74
502,63,62,67
503,65,64,67
504,72,59,73
505,70,73,70
506,58,56,55
507,66,57,71
508,66,62,72
509,72,60,56
510,57,71,59
511,60,74,62
512,72,73,66
513,72,57,70
514,72,58,69
515,72,59,66
516,63,57,69
517,63,59,68
518,70,64,74
519,60,74,58
520,74,61,74
521,71,70,63
522,56,65,67
523,60,64,64
524,58,72,63
525,60,73,72
526,61,56,60
527,59,60,74
528,70,56,58
529,62,71,67
530,71,57,70
531,56,69,73
532,63,67,66
533,69,60,71
534,62,67,71
535,58,72,74
536,56,74,72
537,57,63,59
538,70,70,74
539,57,67,62
540,68,70,61
541,64,66,56
542,67,59,55
543,65,74,66
544,72,66,72
545,60,60,62
546,72,64,55
547,74,75,67
548,66,60,63
549,61,74,63
550,66,69,59
551,58,67,64
552,59,60,68
553,69,68,56
554,72,74,55
555,60,73,66
556,73,64,67
557,74,64,59
558,62,71,63
559,64,74,65
560,64,60,58
561,70,67,71
562,61,59,73
563,65,65,65
564,60,74,66
565,65,58,59
566,71,71,58
567,73,69,75
568,57,56,63
569,63,55,62
570,66,55,60
571,73,65,73
572,73,55,56
573,67,67,69
574,61,58,55
575,67,71,61
576,75,68,66
577,63,56,68
578,57,64,56
579,65,59,69
580,61,71,69
581,58,71,55
582,65,72,69
583,72,71,60
584,58,74,68
585,65,74,71
586,65,58,62
587,74,72,73
588,64,62,68
589,70,60,71
590,56,75,63
591,67,70,70
592,69,59,58
593,58,73,63
594,57,65,66
595,64,67,64
596,58,71,60
597,73,67,71
598,58,58,72
599,65,62,60
600,58,73,67
601,61,70,95
602,75,65,92
603,90,65,71
604,80,62,65
605,63,92,94
605,70,97,93
606,92,61,75
607,66,84,85
608,82,93,97
609,81,98,91
610,95,95,71
611,98,93,68
612,91,70,80
613,98,59,63
614,95,70,58
615,91,72,74
616,89,61,62
617,58,98,70
618,63,99,74
619,66,93,72
