yield,nitrogen,phosphorus
0.827415583,no,no
3.612627509,no,no
2.619258092,no,no
1.741219001,no,no
0.659058907,no,no
0.489110674,no,no
0.107882673,no,no
0.191069119,no,no
2.975662122,no,no
1.515091875,no,no
3.007918169,yes,no
1.171815603,yes,no
0.607055067,yes,no
4.235874031,yes,no
1.713683048,yes,no
4.230293659,yes,no
2.833388671,yes,no
1.58176348,yes,no
0.785866042,yes,no
2.732240312,yes,no
0.023420466,no,yes
0.108355863,no,yes
1.804177357,no,yes
3.847526437,no,yes
0.167943657,no,yes
2.446301181,no,yes
2.346838684,no,yes
4.083904932,no,yes
1.292035918,no,yes
2.638777326,no,yes
3.360026532,yes,yes
6.277272499,yes,yes
4.560968384,yes,yes
5.644173399,yes,yes
1.500993584,yes,yes
3.003610943,yes,yes
2.943975624,yes,yes
2.149358583,yes,yes
5.038073245,yes,yes
0.323390008,yes,yes
